,Magnitude,Scale,Time,Latitude,Longitude
91,3.1,ML,2019-06-10T13:17:09.780000Z,42.605,13.272
92,3.2,ML,2019-06-07T19:00:42.160000Z,38.645,14.416
93,3.2,ML,2019-06-07T10:22:54.240000Z,43.984,10.147
94,3.2,ML,2019-06-06T15:24:04.790000Z,41.736,15.109
95,3,ML,2019-06-05T22:29:30.580000Z,43.251,12.474
96,3.3,ML,2019-05-30T16:48:49.760000Z,39.829,15.867
97,3,ML,2019-05-29T14:21:53.340000Z,37.667,15.148
98,3.4,ML,2019-05-25T10:38:02.480000Z,44.536,10.119
99,3.3,ML,2019-05-21T04:45:25.870000Z,43.394,13.894
100,3,ML,2019-05-18T18:30:46.710000Z,43.377,13.861
101,3.1,ML,2019-05-15T02:09:53.960000Z,42.909,13.161
102,3.1,ML,2019-05-07T13:29:31.550000Z,37.834,14.223
103,3.1,ML,2019-05-04T04:41:46.810000Z,39.721,15.538
104,3.2,ML,2019-05-02T21:01:36.120000Z,38.122,15.173
105,3.1,ML,2019-05-01T13:52:15.520000Z,39.509,16.31
106,3.1,ML,2019-04-30T13:42:22.050000Z,41.891,13.558
107,3,ML,2019-04-27T00:54:39.430000Z,37.822,15.111
108,3.3,ML,2019-04-20T19:14:24.270000Z,37.367,15.185
109,3.1,ML,2019-04-20T04:25:52.490000Z,43.017,13.464
110,3.2,ML,2019-04-17T03:46:49.310000Z,42.91,12.627
111,3.1,ML,2019-04-15T19:19:23.370000Z,41.261,15.854
112,3,ML,2019-04-14T21:15:09.750000Z,43.088,13.193
113,3.7,ML,2019-04-05T02:55:03.610000Z,38.66,14.2
114,3.5,ML,2019-04-05T02:54:25.380000Z,38.642,14.188
115,3.6,ML,2019-03-28T09:55:37.600000Z,43.104,13.946
116,3.2,ML,2019-03-28T09:22:26.650000Z,43.062,14.009
117,3.1,ML,2019-03-27T22:03:51.810000Z,43.101,13.953
118,3,ML,2019-03-27T20:59:17.830000Z,43.11,13.959
119,3,ML,2019-03-27T17:14:22.110000Z,37.733,15.153
120,3,ML,2019-03-16T06:10:23.110000Z,44.426,11.608
121,3.3,ML,2019-03-15T05:33:20.870000Z,38.593,16.066
122,3,ML,2019-03-04T14:32:35.180000Z,38.825,15.724
123,3.2,ML,2019-02-19T03:52:06.440000Z,37.79,14.32
124,3.4,ML,2019-02-15T09:16:21.840000Z,38.82,16.015
125,3.2,ML,2019-02-13T21:56:44.060000Z,40.825,17.814
126,3.2,ML,2019-02-10T19:00:19.020000Z,42.118,16.424
127,3.1,ML,2019-02-05T17:49:00.050000Z,38.639,15.072
128,3.2,ML,2019-02-02T11:54:37.080000Z,37.604,14.961
129,3.2,ML,2019-02-01T22:18:09.130000Z,43.989,11.665
130,3,ML,2019-02-01T00:33:08.960000Z,42.514,12.638
131,3,ML,2019-01-30T02:51:05.860000Z,39.599,17.044
132,3.8,ML,2019-01-25T15:52:07.520000Z,38.629,15.43
133,3.2,ML,2019-01-18T19:04:08.710000Z,39.247,15.805
134,3.4,ML,2019-01-17T02:19:23.710000Z,39.382,16.79
135,3,ML,2019-01-14T23:29:07.640000Z,44.377,12.302
136,3.6,ML,2019-01-12T11:20:33.510000Z,39.306,15.418
137,4.1,ML,2019-01-08T23:50:34.000000Z,37.795,15.046
138,3,ML,2019-01-06T09:50:13.230000Z,41.665,14.165
139,3.6,ML,2019-01-06T02:54:08.470000Z,38.71,15.691
140,3.2,ML,2019-01-05T01:47:36.330000Z,37.143,15.019
141,3,ML,2019-01-04T03:54:03.000000Z,37.695,14.935
142,3,ML,2019-01-03T23:01:15.000000Z,37.655,14.939
143,3.4,ML,2018-12-30T18:30:50.000000Z,37.73,14.966
144,3.2,ML,2018-12-29T23:52:48.890000Z,41.868,12.78
145,3.5,ML,2018-12-26T17:48:09.760000Z,38.641,14.81
146,3,ML,2018-12-26T13:14:54.000000Z,37.749,15.126
147,3.3,ML,2018-12-26T00:09:17.000000Z,37.643,15.126
148,3.3,ML,2018-12-24T19:59:30.000000Z,37.665,14.989
149,3,ML,2018-12-24T19:45:44.000000Z,37.704,15.018
150,4,ML,2018-12-24T19:26:18.000000Z,37.688,14.965
151,3.3,ML,2018-12-24T19:00:02.000000Z,37.707,15.033
152,3.1,ML,2018-12-24T18:43:31.000000Z,37.69,14.979
153,4.3,ML,2018-12-24T16:50:10.000000Z,37.716,15.039
154,3.3,ML,2018-12-24T13:49:51.000000Z,37.717,15.043
155,3,ML,2018-12-24T12:31:51.000000Z,37.731,15.032
156,3.4,ML,2018-12-24T12:19:28.000000Z,37.722,15.042
157,3.2,ML,2018-12-24T12:04:50.000000Z,37.726,14.946
158,3,ML,2018-12-24T11:26:20.000000Z,37.721,15.017
159,3.1,ML,2018-12-24T11:12:04.000000Z,37.718,15.033
160,3.9,ML,2018-12-24T11:01:50.000000Z,37.744,14.97
161,3.1,ML,2018-12-24T10:08:57.000000Z,37.755,14.997
162,3.1,ML,2018-12-24T09:59:31.000000Z,37.749,14.997
163,3.5,ML,2018-12-21T17:50:45.200000Z,43.574,12.336
164,3,ML,2018-12-21T06:24:07.720000Z,38.262,14.84
165,3.2,ML,2018-12-16T19:29:33.780000Z,37.738,15.032
166,3,ML,2018-12-16T12:34:15.410000Z,38.529,14.567
167,3.5,ML,2018-12-13T04:14:13.830000Z,37.812,14.197
168,3,ML,2018-12-12T20:50:13.190000Z,37.806,14.193
169,3,ML,2018-12-08T07:56:29.730000Z,37.769,16.678
170,3.1,ML,2018-12-07T03:16:44.030000Z,39.289,14.288
171,3.5,ML,2018-12-06T19:06:48.780000Z,40.661,10.739
172,3.1,ML,2018-12-04T07:30:45.710000Z,41.761,13.59
173,3.2,ML,2018-12-03T00:06:47.880000Z,44.252,11.048
174,3,ML,2018-12-01T19:09:51.330000Z,42.89,13.142
175,3.4,ML,2018-11-29T13:08:05.080000Z,39.475,16.245
176,3.1,ML,2018-11-26T19:20:02.260000Z,42.732,13.054
177,3.3,ML,2018-11-25T19:32:08.480000Z,39.145,15.361
178,3.7,ML,2018-11-22T07:35:08.630000Z,40.105,14.461
179,3,ML,2018-11-20T16:50:19.000000Z,40.487,15.161
180,3.1,ML,2018-11-20T05:53:42.370000Z,37.711,14.919
181,3.2,ML,2018-11-20T05:06:36.040000Z,37.709,14.897
182,3,ML,2018-11-20T05:06:21.070000Z,37.711,14.923
183,3,ML,2018-11-17T19:25:28.780000Z,39.056,15.232
184,3.1,ML,2018-11-16T01:17:11.290000Z,39.809,16.46
185,3,ML,2018-11-15T01:02:55.270000Z,42.693,13.232
186,3,ML,2018-11-14T15:15:03.470000Z,38.379,15.745
187,3.4,ML,2018-11-14T15:01:02.070000Z,38.4,15.754
188,3.5,ML,2018-11-09T12:45:54.260000Z,40.851,16.572
189,3,ML,2018-11-07T11:19:11.530000Z,40.986,15.035
190,3,ML,2018-11-07T11:18:56.770000Z,40.982,15.032
191,3.4,ML,2018-11-06T18:50:17.850000Z,42.273,12.838
192,3,ML,2018-11-01T05:28:28.840000Z,42.781,12.727
193,3.1,ML,2018-11-01T00:14:33.610000Z,38.257,15.102
194,3.1,ML,2018-10-29T04:10:53.580000Z,42.876,12.703
195,3,ML,2018-10-27T12:58:05.590000Z,40.365,16.251
196,3.2,ML,2018-10-26T09:30:09.590000Z,36.645,12.751
197,3.3,ML,2018-10-26T08:28:56.250000Z,37.895,14.461
198,3,ML,2018-10-25T23:28:42.410000Z,42.877,12.698
199,3.1,ML,2018-10-23T22:47:54.000000Z,37.779,15.01
200,3,ML,2018-10-18T18:34:18.120000Z,39.964,15.503
201,3,ML,2018-10-13T01:55:47.680000Z,41.922,15.165
202,3.2,ML,2018-10-09T22:43:50.250000Z,37.748,15.787
203,3.2,ML,2018-10-09T21:08:53.630000Z,37.608,14.904
204,3.2,ML,2018-10-04T07:07:17.300000Z,39.538,15.213
205,3.1,ML,2018-10-03T01:23:01.000000Z,38.398,15.727
206,3.2,ML,2018-09-30T17:24:06.100000Z,37.824,15.088
207,3.3,ML,2018-09-30T06:23:06.030000Z,37.639,14.493
208,3.3,ML,2018-09-28T18:58:56.280000Z,39.81,15.429
209,3.2,ML,2018-09-28T12:03:57.530000Z,38.384,15.751
210,3.4,ML,2018-09-26T22:50:24.960000Z,38.605,14.964
211,3.5,ML,2018-09-25T13:14:21.980000Z,38.189,17.262
212,3,ML,2018-09-18T19:04:53.820000Z,41.448,19.533
213,3.1,ML,2018-09-09T23:01:42.010000Z,42.511,17.071
214,3,ML,2018-09-09T02:22:30.910000Z,41.317,14.679
215,3.1,ML,2018-08-30T10:35:39.730000Z,42.029,13.083
216,3.3,ML,2018-08-25T15:54:54.370000Z,41.857,14.859
217,3.1,ML,2018-08-22T14:20:20.570000Z,42.067,15.556
218,3.1,ML,2018-08-21T12:04:00.690000Z,38.834,14.61
219,3.2,ML,2018-08-20T22:17:40.500000Z,41.86,14.853
220,3.1,ML,2018-08-20T18:32:08.840000Z,41.858,14.845
221,4.6,ML,2018-08-19T06:29:05.100000Z,39.349,13.366
222,3.3,ML,2018-08-17T22:48:42.560000Z,41.872,14.872
223,3.1,ML,2018-08-16T23:02:42.480000Z,41.851,14.873
224,3.5,ML,2018-08-16T19:28:38.120000Z,41.862,14.803
225,3,ML,2018-08-16T18:43:42.520000Z,41.866,14.861
226,3,ML,2018-08-16T18:30:28.600000Z,41.864,14.853
227,3,ML,2018-08-13T10:19:53.210000Z,36.777,19.383
228,3,ML,2018-08-08T16:20:18.620000Z,35.895,12.621
229,3.1,ML,2018-08-04T06:40:03.240000Z,38.493,14.329
230,3,ML,2018-07-31T15:20:30.550000Z,38.433,15.238
231,3.7,ML,2018-07-29T23:15:10.840000Z,38.583,15.74
232,3,ML,2018-07-25T12:38:52.100000Z,42.37,13.355
233,3.3,ML,2018-07-21T09:27:50.080000Z,39.894,15.683
234,3.4,ML,2018-07-19T12:39:37.270000Z,37.1,16.948
235,3.4,ML,2018-07-18T21:20:54.450000Z,37.723,14.973
236,3.4,ML,2018-07-18T21:20:36.830000Z,37.721,15.007
237,3,ML,2018-07-07T18:51:37.600000Z,37.843,13.953
238,3.7,ML,2018-07-07T07:11:45.700000Z,37.849,13.976
239,3.1,ML,2018-07-05T07:19:41.550000Z,43.074,13.034
240,3.6,ML,2018-07-05T01:39:46.210000Z,42.426,18.887
241,3,ML,2018-07-01T23:41:17.690000Z,44.174,10.54
242,3.6,ML,2018-07-01T07:32:16.680000Z,44.18,10.548
243,3.5,ML,2018-06-26T02:19:37.320000Z,39.373,16.731
244,3.1,ML,2018-06-20T06:03:32.900000Z,40.586,15.069
245,3.1,ML,2018-06-13T19:26:49.840000Z,42.453,13.559
246,3,ML,2018-06-06T05:26:56.720000Z,37.173,16.096
247,3.1,ML,2018-06-03T23:20:21.540000Z,42.491,13.126
248,3.1,ML,2018-05-25T10:28:11.830000Z,37.737,15.115
249,3,ML,2018-05-24T00:01:24.420000Z,39.522,15.685
250,3.3,ML,2018-05-22T05:15:38.140000Z,37.406,16.415
251,3.9,ML,2018-05-21T12:21:30.420000Z,36.005,13.098
252,3,ML,2018-05-20T16:43:40.500000Z,43.072,13.009
253,3,ML,2018-05-19T11:01:56.460000Z,37.684,15.88
254,3,ML,2018-05-17T03:57:48.070000Z,42.599,13.238
255,3.2,ML,2018-05-16T14:45:03.110000Z,39.007,14.668
256,3,ML,2018-05-12T11:31:06.620000Z,37.954,15.197
257,3.1,ML,2018-05-12T09:00:36.520000Z,43.866,12.746
258,3.2,ML,2018-05-08T16:24:14.900000Z,42.901,13.695
259,3,ML,2018-05-04T14:47:38.740000Z,43.031,13.048
260,3.6,ML,2018-05-03T18:46:04.450000Z,44.056,11.714
261,3.3,ML,2018-05-03T14:19:09.520000Z,44.05,11.72
262,3.1,ML,2018-05-02T21:20:07.640000Z,43.029,13.031
263,3.1,ML,2018-05-02T19:21:10.160000Z,43.031,13.032
264,3.4,ML,2018-04-25T14:53:15.820000Z,38.252,15.228
265,3.3,ML,2018-04-23T09:28:47.290000Z,38.824,13.789
266,3,ML,2018-04-23T05:07:12.010000Z,43.786,12.028
267,3,ML,2018-04-21T18:20:54.970000Z,43.049,13.037
268,3.1,ML,2018-04-19T20:17:51.300000Z,43.083,13.031
269,3.3,ML,2018-04-18T19:58:38.620000Z,39.532,15.67
270,3.3,ML,2018-04-12T21:59:19.030000Z,43.053,13.039
271,3.7,ML,2018-04-11T04:48:12.880000Z,37.731,15.941
272,3.7,ML,2018-04-10T13:17:08.000000Z,40.313,19.415
273,3.5,ML,2018-04-10T04:03:36.270000Z,43.062,13.046
274,3.5,ML,2018-04-10T03:46:15.500000Z,43.063,13.045
275,4,ML,2018-04-08T14:37:33.200000Z,39.11,19.959
276,3.2,ML,2018-04-06T01:22:38.130000Z,40.691,15.453
277,3,ML,2018-04-05T08:44:19.520000Z,43.066,13.03
278,3.2,ML,2018-04-03T07:03:40.560000Z,43.064,13.043
279,3,ML,2018-03-25T03:33:44.610000Z,43.052,13.033
280,3,ML,2018-03-23T16:50:28.900000Z,36.727,12.688
281,3.7,ML,2018-03-22T23:40:24.660000Z,39.239,15.466
282,3.2,ML,2018-03-22T17:32:58.120000Z,39.182,16.37
283,3.2,ML,2018-03-19T17:46:41.910000Z,37.757,14.982
284,3,ML,2018-03-14T06:42:46.590000Z,42.744,13.501
285,3,ML,2018-03-08T08:49:54.810000Z,37.624,15.057
286,4.4,ML,2018-03-07T20:15:15.400000Z,39.325,14.501
287,3,ML,2018-03-03T00:15:11.340000Z,38.579,14.492
288,3,ML,2018-02-27T12:44:18.820000Z,37.84,15.53
289,3,ML,2018-02-27T12:35:13.080000Z,37.841,15.524
290,3.3,ML,2018-02-22T04:33:24.710000Z,44.424,10.363
291,3.2,ML,2018-02-18T01:13:46.420000Z,38.511,14.768
292,4,ML,2018-02-16T11:21:48.520000Z,39.78,15.573
293,3.1,ML,2018-02-15T19:16:00.720000Z,40.425,15.102
294,3.1,ML,2018-02-14T17:53:32.040000Z,39.061,15.747
295,3.1,ML,2018-01-29T19:02:39.210000Z,42.931,13.114
296,3.7,ML,2018-01-27T18:29:13.470000Z,38.963,16.343
297,3.2,ML,2018-01-19T15:36:35.720000Z,43.004,13.029
298,3.1,ML,2018-01-18T04:01:07.040000Z,43.064,13.026
299,3,ML,2018-01-17T16:55:16.350000Z,43.063,13.029
300,3.6,ML,2018-01-16T10:49:36.440000Z,38.593,11.972
301,3.4,ML,2018-01-09T16:57:59.060000Z,38.5,14.338
302,3.1,ML,2018-01-09T14:43:11.960000Z,38.477,14.341
303,3.1,ML,2018-01-05T18:54:49.500000Z,42.914,13.148
304,3.1,ML,2018-01-05T06:25:21.030000Z,38.418,15.377
305,3,ML,2018-01-02T11:24:33.370000Z,38.647,14.274
306,3.3,ML,2018-01-02T11:07:36.910000Z,38.699,14.282
